

TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-23 13:19:41,1771852781979,masterclass.skillect.in/api/admin,POST,,500,sjq22-1771852781592-e19623c5bdd7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",warning,production,main,MISS,function,/api/admin,masterclass.skillect.in,masterclass.skillect.in,dpl_GVWSRVs1iGLSjh7HCD2M17oHCKac,,,,,[Upstash Redis] Redis client was initialized without url or token. Failed to execute command.,prj_p8xryW8u5s8kHhE4v7cNEvDvqfDw,,,,,
2026-02-23 13:19:46,1771852786271,masterclass.skillect.in/api/admin,POST,,500,sjq22-1771852781592-e19623c5bdd7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/admin,masterclass.skillect.in,masterclass.skillect.in,dpl_GVWSRVs1iGLSjh7HCD2M17oHCKac,,,,,"Failed to update webinar date: TypeError: Failed to parse URL from /pipeline
    at ignore-listed frames {
  [cause]: TypeError: Invalid URL
      at ignore-listed frames {
    code: 'ERR_INVALID_URL',
    input: '/pipeline'
  }
}",prj_p8xryW8u5s8kHhE4v7cNEvDvqfDw,,,,,
2026-02-23 13:19:41,1771852781592,masterclass.skillect.in/api/admin,POST,,500,sjq22-1771852781592-e19623c5bdd7,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/api/admin,masterclass.skillect.in,masterclass.skillect.in,dpl_GVWSRVs1iGLSjh7HCD2M17oHCKac,4310,iad1,244,2048,,prj_p8xryW8u5s8kHhE4v7cNEvDvqfDw,,,01KJ5AFPBX4HTRXR72ED5HR0QD,rZqTWhWwJzqW,1
2026-02-23 13:19:21,1771852761334,masterclass.skillect.in/admin,GET,,200,ng9vl-1771852761334-4b240414013c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,PRERENDER,static,/admin,masterclass.skillect.in,skillect-masterclass-49smctynn-sadique-for-skillects-projects.vercel.app,dpl_GVWSRVs1iGLSjh7HCD2M17oHCKac,457,bom1,,,,prj_p8xryW8u5s8kHhE4v7cNEvDvqfDw,,,,,
2026-02-23 13:19:25,1771852765705,masterclass.skillect.in/api/webinar-date,GET,,200,pd56x-1771852761298-7f3861469c68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/webinar-date,masterclass.skillect.in,masterclass.skillect.in,dpl_GVWSRVs1iGLSjh7HCD2M17oHCKac,,,,,"Failed to fetch webinar date from Redis: TypeError: Failed to parse URL from /pipeline
    at ignore-listed frames {
  [cause]: TypeError: Invalid URL
      at ignore-listed frames {
    code: 'ERR_INVALID_URL',
    input: '/pipeline'
  }
}",prj_p8xryW8u5s8kHhE4v7cNEvDvqfDw,,,,,
2026-02-23 13:19:21,1771852761411,masterclass.skillect.in/api/webinar-date,GET,,200,pd56x-1771852761298-7f3861469c68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",warning,production,main,MISS,function,/api/webinar-date,masterclass.skillect.in,masterclass.skillect.in,dpl_GVWSRVs1iGLSjh7HCD2M17oHCKac,,,,,[Upstash Redis] Redis client was initialized without url or token. Failed to execute command.,prj_p8xryW8u5s8kHhE4v7cNEvDvqfDw,,,,,
2026-02-23 13:19:21,1771852761298,masterclass.skillect.in/api/webinar-date,GET,,200,pd56x-1771852761298-7f3861469c68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/api/webinar-date,masterclass.skillect.in,masterclass.skillect.in,dpl_GVWSRVs1iGLSjh7HCD2M17oHCKac,4302,iad1,244,2048,,prj_p8xryW8u5s8kHhE4v7cNEvDvqfDw,,,01KJ5AF29N8FAHDMVQ1TGVMQYK,rZqTWhWwJzqW,1
2026-02-23 13:19:16,1771852756785,masterclass.skillect.in/api/webinar-date,GET,,200,hvxrx-1771852756649-08c059bc4e8f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",warning,production,main,MISS,function,/api/webinar-date,masterclass.skillect.in,skillect-masterclass-49smctynn-sadique-for-skillects-projects.vercel.app,dpl_GVWSRVs1iGLSjh7HCD2M17oHCKac,,,,,[Upstash Redis] Redis client was initialized without url or token. Failed to execute command.,prj_p8xryW8u5s8kHhE4v7cNEvDvqfDw,,,,,
2026-02-23 13:19:21,1771852761075,masterclass.skillect.in/api/webinar-date,GET,,200,hvxrx-1771852756649-08c059bc4e8f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",error,production,main,MISS,function,/api/webinar-date,masterclass.skillect.in,skillect-masterclass-49smctynn-sadique-for-skillects-projects.vercel.app,dpl_GVWSRVs1iGLSjh7HCD2M17oHCKac,,,,,"Failed to fetch webinar date from Redis: TypeError: Failed to parse URL from /pipeline
    at ignore-listed frames {
  [cause]: TypeError: Invalid URL
      at ignore-listed frames {
    code: 'ERR_INVALID_URL',
    input: '/pipeline'
  }
}",prj_p8xryW8u5s8kHhE4v7cNEvDvqfDw,,,,,
2026-02-23 13:19:16,1771852756649,masterclass.skillect.in/api/webinar-date,GET,,200,hvxrx-1771852756649-08c059bc4e8f,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36",,production,main,MISS,function,/api/webinar-date,masterclass.skillect.in,skillect-masterclass-49smctynn-sadique-for-skillects-projects.vercel.app,dpl_GVWSRVs1iGLSjh7HCD2M17oHCKac,4303,iad1,243,2048,,prj_p8xryW8u5s8kHhE4v7cNEvDvqfDw,,,01KJ5AEXRYY6Y0CH1XMQKZPJGM,rZqTWhWwJzqW,1
